name,column_name,n_tuples,missing_perc,constancy,imbalance,uniqueness,unalikeability,entropy,density,mean_char,std_char,skewness_char,kurtosis_char,min_char,max_char,ml_algorithm,impute_standard,impute_mode,impute_random,impute_knn,impute_mice,impute_logistic_regression,impute_random_forest,impute_kproto
drug,Sex,200.0,0.199375,0.5196,1.08345,0.0125,0.501975,0.6919875,16.7259375,1.0,0.0,,,1.0,1.0,AdaBoost,0.7873652677712255,0.7873652677712255,0.7873652677712255,0.7873652677712255,0.7873652677712255,0.7873652677712255,0.7873652677712255,0.7873652677712255
drug,Sex,200.0,0.199375,0.5196,1.08345,0.0125,0.501975,0.6919875,16.7259375,1.0,0.0,,,1.0,1.0,SVC,0.90738058023929,0.9156370624392626,0.9150667417187451,0.9146670997322307,0.913638325265956,0.9176769785968708,0.9189351497694463,0.9156370624392626
drug,Sex,200.0,0.155,0.511025,1.04555,0.011849999999999998,0.5026375,0.6928125,25.4138,1.0,0.0,,,1.0,1.0,DecisionTree,0.9957661782661784,0.9957661782661784,0.9957661782661784,0.9957661782661784,0.9957661782661784,0.9957661782661784,0.9957661782661784,0.9957661782661784
drug,Sex,200.0,0.155,0.511025,1.04555,0.011849999999999998,0.5026375,0.6928125,25.4138,1.0,0.0,,,1.0,1.0,LogisticRegression,0.946724271180639,0.9482608579611637,0.9503614117824031,0.9495184001991941,0.9511962752824122,0.9466303704519622,0.9490911523705566,0.9482608579611637
drug,Sex,200.0,0.155,0.511025,1.04555,0.011849999999999998,0.5026375,0.6928125,25.4138,1.0,0.0,,,1.0,1.0,KNN,0.7000858318576534,0.7684688083845108,0.7661848768044992,0.7960660672497042,0.7984602965146911,0.7740711322669632,0.7938088864004883,0.7711525874916043
drug,Sex,200.0,0.155,0.511025,1.04555,0.011849999999999998,0.5026375,0.6928125,25.4138,1.0,0.0,,,1.0,1.0,RandomForest,0.9909900125915752,0.9894080528846156,0.9904929011960264,0.9904771443833946,0.9888898904914531,0.9883444636960264,0.9900528464590966,0.992074652777778
drug,Sex,200.0,0.155,0.511025,1.04555,0.011849999999999998,0.5026375,0.6928125,25.4138,1.0,0.0,,,1.0,1.0,AdaBoost,0.7873652677712255,0.7873652677712255,0.7873652677712255,0.7873652677712255,0.7873652677712255,0.7873652677712255,0.7873652677712255,0.7873652677712255
drug,Sex,200.0,0.155,0.511025,1.04555,0.011849999999999998,0.5026375,0.6928125,25.4138,1.0,0.0,,,1.0,1.0,SVC,0.8843024821358852,0.9135219990554764,0.9049317276397482,0.9137785697869091,0.9137785697869091,0.9093668334653194,0.9073244315262804,0.9173675341551077
drug,Sex,200.0,0.09687499999999999,0.5184000000000001,1.076625,0.011075,0.5020375,0.6924,23.411,1.0,0.0,,,1.0,1.0,DecisionTree,0.9957661782661784,0.9957661782661784,0.9957661782661784,0.9957661782661784,0.9957661782661784,0.9957661782661784,0.9957661782661784,0.9957661782661784
drug,Sex,200.0,0.09687499999999999,0.5184000000000001,1.076625,0.011075,0.5020375,0.6924,23.411,1.0,0.0,,,1.0,1.0,LogisticRegression,0.9466797332082613,0.9466063072263402,0.9462408522336717,0.9488677610849012,0.9488677610849012,0.944481506959683,0.9491677934304049,0.9466063072263402
